Table Names-1,Title,Author,Price,ISBN,Previous Rank,Weeks of list,Rank,Table Names,File Paths
ABA Bestsellers 02-28-18.xlsx/Feb 28,A Wrinkle in Time,Madeleine L'Engle,8.99,9781250153272,,,1,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Wonder,R.J. Palacio,16.99,9781524720193,,,2,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Auggie & Me,R.J. Palacio,16.99,9781101934852,,,3,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Girl Who Drank the Moon,Kelly Barnhill,16.95,9781616205676,,,4,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Drama,Raina Telgemeier,10.99,9780545326995,,,5,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The War That Saved My Life,Kimberly Brubaker Bradley,8.99,9780147510488,,,6,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Black Panther: The Young Prince,Ronald L. Smith,16.99,9781484787649,,,7,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Sisters,Raina Telgemeier,10.99,9780545540605,,,8,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Smile,Raina Telgemeier,10.99,9780545132060,,,9,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Marvel's Black Panther: The Junior Novel,Jim McCann,6.99,9780316413206,,,10,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,All's Faire in Middle School,Victoria Jamieson,12.99,9780525429999,,,11,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The War I Finally Won,Kimberly Brubaker Bradley,16.99,9780525429203,,,12,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Ghosts,Raina Telgemeier,10.99,9780545540629,,,13,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,"Hello, Universe",Erin Entrada Kelly,16.99,9780062414151,,,14,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Wishtree,Katherine Applegate,16.99,9781250043221,,,15,Early & Middle,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,An American Marriage,Tayari Jones,26.95,9781616208776,1,3,1,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Great Alone,Kristin Hannah,28.99,9780312577230,2,3,2,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Woman in the Window,A.J. Finn,26.99,9780062678416,3,8,3,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,A Gentleman in Moscow,Amor Towles,27,9780670026197,5,77,4,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,Little Fires Everywhere,Celeste Ng,27,9780735224292,4,24,5,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Immortalists,Chloe Benjamin,26,9780735213180,6,7,6,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,"Sing, Unburied, Sing",Jesmyn Ward,26,9781501126062,7,21,7,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
ABA Bestsellers 02-28-18.xlsx/Feb 28,The Power,Naomi Alderman,26,9780316547611,10,8,8,Hardcover Fiction,ABA Bestsellers 02-28-18.xlsx
